	lSF	lFP	lRMF	lCMF	lPOB	lLOF	lPT	lPOP	lMOF	lRAC	lCAC	lINS	lPRC	lPOC	lSUPRA	lSP	lIP	lPARA	lPCG	rIST	lPREC	lCUN	lPERI	lLIN	lLO	lTRANS	lBKS	lST	lMT	lIT	lTP	lENT	lPHIP	lFUS	rSF	rFP	rCAC	rCMF	rPOB	rLOF	rPT	rPOP	rMOF	rRMF	rRAC	rINS	rPRC	rPOC	rSUPRA	rSP	rIP	rPARAC	rPCG	lIST	rPREC	rCUN	rPERI	rLIN	rLO	rTRANS	rBKS	rST	rMT	rIT	rTP	rENT	rPHIP	rFUS
'sub_1'	0.009254	0.015379	-0.042376	-0.001630	-0.008111	-0.027135	-0.030577	-0.011761	0.006716	0.012061	0.006234	-0.012955	-0.012165	-0.007383	-0.024129	-0.002193	-0.042714	0.004210	-0.004437	-0.004308	-0.003021	-0.013732	-0.065217	-0.000438	-0.037838	-0.000786	0.085141	-0.042041	0.011083	-0.016697	-0.023951	-0.013655	-0.006519	-0.011699	-0.116926	-0.003221	-0.010020	-0.057279	-0.002928	-0.009015	-0.008133	-0.019056	0.002020	0.000153	-0.006292	-0.005646	-0.003791	-0.008235	0.007280	-0.007566	-0.581763	-0.003230	-0.016493	0.001018	-0.016310	-0.027911	0.000622	0.082415	0.016402	-0.015308	-0.025336	-0.208053	-0.382913	-0.002838	-0.015350	0.012182	0.015875	-0.011099
'sub_2'	-0.015502	-0.004323	0.013206	-0.006639	0.001157	-0.006432	-0.006383	0.015351	0.009795	0.012232	-0.008656	0.003328	-0.004011	0.015791	0.015839	0.002903	0.036560	0.005669	0.005165	0.006032	0.009675	-0.016125	-0.018637	-0.004294	0.434334	0.006100	0.753369	0.049011	0.011165	0.007085	0.015270	0.011392	-0.035543	-0.010364	0.001526	-0.000113	-0.001782	0.006406	0.002462	-0.012943	-0.011598	0.002737	0.011150	0.024438	0.006742	-0.007781	0.001680	0.064562	0.002858	0.019474	0.613609	0.001380	-0.023937	0.002764	0.010968	0.043290	-0.004064	-0.145316	0.013787	0.032262	-0.041238	0.258107	0.028764	-0.003968	0.001465	0.016901	0.056572	0.007164
'sub_3'	-0.008979	0.115102	-0.045353	0.001312	-0.004045	0.006611	-0.014455	-0.013709	-0.002382	-0.004652	-0.008754	-0.008399	-0.003188	-0.001408	-0.007827	0.005854	-0.059218	-0.011200	-0.000927	-0.001027	-0.002265	-0.005033	-0.011867	0.006136	0.172413	0.004726	0.861441	-0.000659	0.009735	-0.013417	-0.008692	-0.007519	-0.003765	0.011287	-0.083285	-0.000045	-0.007726	0.019893	-0.003724	-0.009463	0.016890	-0.000046	-0.004143	-0.011307	-0.005723	-0.005589	-0.009510	0.022111	-0.023229	-0.011114	-0.068942	-0.000609	-0.006116	0.017939	-0.007168	0.046365	0.023046	0.455589	-0.029969	-0.009280	0.058985	-0.043004	-0.222927	-0.011325	-0.000411	-0.000070	-0.057029	0.005069
'sub_4'	0.016894	-0.218212	-0.028700	0.007709	0.004460	0.029021	0.020187	-0.004809	0.007952	0.009815	0.002574	-0.012269	0.008127	-0.011014	0.027776	0.007813	-0.033068	-0.003197	0.004953	0.003993	0.003463	0.001437	0.008452	0.011458	0.114538	0.000732	-0.060897	-0.035019	0.023926	0.061835	0.003846	0.005509	0.007729	0.003063	-0.022384	0.002640	-0.003268	0.079843	0.004993	0.000425	0.027469	0.013752	0.006345	-0.007038	0.003716	-0.004475	-0.002409	0.019012	0.007253	0.013169	0.211485	0.005872	0.023622	-0.034215	0.001312	0.029972	-0.001080	-0.088371	-0.041454	-0.032368	0.030728	0.060739	0.010258	-0.007720	0.001821	-0.004182	0.043186	0.003563
'sub_5'	-0.044055	-0.033781	-0.017567	-0.002396	-0.002815	0.001355	-0.018926	-0.021696	0.007196	0.002359	-0.004982	-0.010978	-0.001413	-0.012833	-0.009863	-0.010335	-0.015057	0.010806	-0.001786	-0.015867	-0.002749	0.001829	-0.073715	0.011523	0.213621	0.004155	-0.233440	-0.018643	-0.042495	-0.011841	0.005334	-0.004794	0.011728	-0.006200	0.055458	-0.008172	-0.020427	-0.049239	-0.001865	0.001218	0.000112	-0.015791	0.000115	-0.017984	-0.002368	0.003008	-0.000462	0.025681	-0.001431	-0.003164	0.047446	0.000797	0.003683	-0.012350	-0.001382	0.032803	-0.019454	-0.141481	-0.042821	-0.017951	0.006376	-0.020457	0.085297	0.008073	-0.005977	0.029477	0.005315	-0.009878
'sub_6'	-0.014241	0.000357	-0.010545	-0.000858	0.005674	-0.000423	0.013029	0.004592	0.007579	0.003681	-0.009386	-0.002332	-0.001520	0.001383	0.003565	0.005264	0.025496	-0.002142	-0.000335	0.014753	0.005319	-0.001385	-0.007123	0.011896	0.036991	-0.006517	-0.184300	0.055498	-0.021002	-0.000452	0.025566	0.008720	-0.002634	-0.001795	0.031384	-0.000667	0.004321	-0.079721	0.011879	0.004897	-0.005907	-0.004868	-0.018525	-0.003458	0.004071	0.004865	0.000990	0.005389	-0.017763	0.004601	-0.481308	0.005553	-0.000931	-0.000102	-0.001000	0.048946	0.003534	0.022111	0.082237	0.017587	-0.048163	0.059413	0.122934	-0.003754	0.001938	-0.030212	0.001345	0.006626
'sub_7'	-0.026439	-0.000055	-0.020096	-0.000803	-0.000545	0.005663	-0.009089	0.011946	-0.002990	0.010566	-0.005555	-0.018604	-0.001372	-0.002969	0.010634	0.003860	0.032403	-0.000823	-0.001618	0.000270	0.002488	0.004078	-0.002099	0.030000	0.257291	0.006699	0.539720	-0.028817	-0.037482	0.028782	0.016459	0.009832	-0.024287	0.001979	-0.036774	-0.003604	-0.000845	0.031166	0.007189	-0.012652	0.000194	0.006159	0.014695	0.019050	0.017382	0.002105	-0.003171	0.041805	0.021187	-0.012226	0.365090	0.005342	0.007878	-0.006822	-0.000361	-0.033983	-0.024409	-0.200354	-0.031081	0.019219	0.045478	-0.058370	-0.217634	0.002736	0.000664	0.030821	-0.082396	-0.002517
'sub_8'	0.011974	-0.056372	0.010924	0.015115	0.012533	-0.008296	0.032816	-0.007049	0.017076	-0.012748	0.008702	-0.008283	0.003995	0.005060	0.003718	-0.002375	-0.006135	-0.010520	0.007272	-0.000359	0.002640	0.006861	0.045808	0.025534	0.328344	-0.003611	-0.382354	-0.034055	0.014798	0.009552	0.018558	0.006997	0.013233	0.011630	0.007646	0.002033	0.022011	-0.017834	0.005182	0.015435	0.011742	-0.005577	-0.000547	-0.009202	-0.001140	0.007806	0.006668	0.044138	0.009903	0.014620	-0.005635	0.009618	0.000273	-0.000609	0.013489	-0.000668	-0.005140	-0.090121	0.061265	-0.022203	0.016667	-0.003904	0.034649	0.003940	0.011025	0.017962	0.021053	-0.001239
'sub_9'	-0.035397	0.013930	0.044592	-0.001359	0.004776	0.003036	0.022230	-0.005363	-0.002945	0.014152	-0.002995	0.002474	0.011687	0.010790	0.008448	0.005172	0.022291	0.012176	-0.001007	0.007125	0.006644	0.005621	-0.016192	0.020269	0.058128	0.007410	-0.145446	-0.051381	-0.053616	0.015061	0.039937	0.006273	0.014321	0.030385	0.152883	0.001032	-0.005758	0.057006	0.006458	0.012865	0.025745	0.008730	0.002419	-0.015922	0.004699	0.006252	0.003402	0.007014	0.011969	0.003112	-0.369753	0.010075	0.015723	0.002576	0.005674	0.030752	-0.009477	0.073392	0.026710	-0.030958	0.076031	-0.044244	0.475314	0.001861	0.010101	0.020944	-0.006482	0.008956
'sub_10'	-0.019584	-0.013150	0.027739	0.013222	0.011735	-0.000837	0.017977	-0.000612	0.025435	0.012813	0.004484	0.024987	-0.006953	0.014005	0.009772	0.006156	0.010967	0.007988	0.004598	-0.001594	0.004700	0.008937	-0.040618	0.002848	0.455661	0.013083	-0.570927	0.036832	0.037641	0.039464	0.017099	0.009737	0.034269	-0.002437	0.037237	0.010224	0.007997	0.017947	-0.002574	0.012697	-0.021995	0.007493	0.018948	0.004239	0.017596	0.008927	0.008743	0.068649	0.023987	0.008289	-0.056568	0.008653	-0.023197	0.003134	0.006647	0.065136	0.026792	0.259568	-0.015782	0.048698	-0.062030	-0.015059	0.021206	0.011362	0.003737	0.038658	-0.022784	0.005042
